All hps: 2021-11-21 13:28:39 model=clp_mnist dataset=mnist attack=square_linf n_ex=10000 eps=0.3 p=0.8 n_iter=20000
Clean accuracy: 98.82%
137: acc=63.49% acc_corr=64.25% avg#q_ae=62.76 med#q=61.0, avg_margin=0.67 (n_ex=9882, eps=0.300, 555.94s)
138: acc=63.36% acc_corr=64.12% avg#q_ae=63.04 med#q=63.0, avg_margin=0.66 (n_ex=9882, eps=0.300, 559.09s)
139: acc=63.26% acc_corr=64.02% avg#q_ae=63.26 med#q=64.0, avg_margin=0.66 (n_ex=9882, eps=0.300, 562.31s)
140: acc=63.09% acc_corr=63.84% avg#q_ae=63.63 med#q=69.0, avg_margin=0.65 (n_ex=9882, eps=0.300, 565.49s)
141: acc=62.83% acc_corr=63.58% avg#q_ae=64.19 med#q=71.0, avg_margin=0.65 (n_ex=9882, eps=0.300, 568.65s)
142: acc=62.70% acc_corr=63.45% avg#q_ae=64.48 med#q=74.0, avg_margin=0.64 (n_ex=9882, eps=0.300, 571.79s)
143: acc=62.59% acc_corr=63.34% avg#q_ae=64.72 med#q=76.0, avg_margin=0.64 (n_ex=9882, eps=0.300, 574.92s)
144: acc=62.44% acc_corr=63.19% avg#q_ae=65.05 med#q=79.0, avg_margin=0.64 (n_ex=9882, eps=0.300, 578.05s)
145: acc=62.27% acc_corr=63.01% avg#q_ae=65.43 med#q=81.0, avg_margin=0.63 (n_ex=9882, eps=0.300, 581.14s)
146: acc=62.16% acc_corr=62.90% avg#q_ae=65.67 med#q=84.5, avg_margin=0.63 (n_ex=9882, eps=0.300, 584.24s)
147: acc=62.04% acc_corr=62.78% avg#q_ae=65.94 med#q=87.0, avg_margin=0.63 (n_ex=9882, eps=0.300, 587.38s)
148: acc=61.90% acc_corr=62.64% avg#q_ae=66.25 med#q=90.5, avg_margin=0.62 (n_ex=9882, eps=0.300, 590.46s)
149: acc=61.75% acc_corr=62.49% avg#q_ae=66.59 med#q=93.0, avg_margin=0.62 (n_ex=9882, eps=0.300, 593.59s)
150: acc=61.61% acc_corr=62.35% avg#q_ae=66.91 med#q=99.0, avg_margin=0.61 (n_ex=9882, eps=0.300, 596.67s)
151: acc=61.48% acc_corr=62.21% avg#q_ae=67.21 med#q=104.0, avg_margin=0.61 (n_ex=9882, eps=0.300, 599.83s)
152: acc=61.29% acc_corr=62.02% avg#q_ae=67.64 med#q=104.0, avg_margin=0.61 (n_ex=9882, eps=0.300, 603.00s)
153: acc=61.15% acc_corr=61.88% avg#q_ae=67.96 med#q=104.0, avg_margin=0.60 (n_ex=9882, eps=0.300, 606.15s)
154: acc=60.99% acc_corr=61.72% avg#q_ae=68.33 med#q=104.0, avg_margin=0.60 (n_ex=9882, eps=0.300, 609.47s)
155: acc=60.83% acc_corr=61.56% avg#q_ae=68.70 med#q=104.0, avg_margin=0.60 (n_ex=9882, eps=0.300, 612.62s)
156: acc=60.74% acc_corr=61.47% avg#q_ae=68.91 med#q=104.0, avg_margin=0.59 (n_ex=9882, eps=0.300, 615.73s)
157: acc=60.60% acc_corr=61.32% avg#q_ae=69.23 med#q=104.0, avg_margin=0.59 (n_ex=9882, eps=0.300, 618.83s)
158: acc=60.42% acc_corr=61.14% avg#q_ae=69.66 med#q=104.0, avg_margin=0.59 (n_ex=9882, eps=0.300, 621.96s)
159: acc=60.31% acc_corr=61.03% avg#q_ae=69.91 med#q=104.0, avg_margin=0.59 (n_ex=9882, eps=0.300, 625.04s)
160: acc=60.15% acc_corr=60.87% avg#q_ae=70.29 med#q=104.0, avg_margin=0.58 (n_ex=9882, eps=0.300, 628.11s)
161: acc=60.08% acc_corr=60.80% avg#q_ae=70.46 med#q=104.0, avg_margin=0.58 (n_ex=9882, eps=0.300, 631.18s)
162: acc=59.97% acc_corr=60.69% avg#q_ae=70.72 med#q=104.0, avg_margin=0.58 (n_ex=9882, eps=0.300, 634.25s)
163: acc=59.82% acc_corr=60.53% avg#q_ae=71.08 med#q=104.0, avg_margin=0.57 (n_ex=9882, eps=0.300, 637.30s)
164: acc=59.75% acc_corr=60.46% avg#q_ae=71.25 med#q=104.0, avg_margin=0.57 (n_ex=9882, eps=0.300, 640.28s)
165: acc=59.64% acc_corr=60.35% avg#q_ae=71.51 med#q=104.0, avg_margin=0.57 (n_ex=9882, eps=0.300, 643.28s)
166: acc=59.56% acc_corr=60.27% avg#q_ae=71.71 med#q=104.0, avg_margin=0.57 (n_ex=9882, eps=0.300, 646.27s)
167: acc=59.45% acc_corr=60.16% avg#q_ae=71.97 med#q=104.0, avg_margin=0.57 (n_ex=9882, eps=0.300, 649.27s)
168: acc=59.38% acc_corr=60.09% avg#q_ae=72.15 med#q=104.0, avg_margin=0.56 (n_ex=9882, eps=0.300, 652.29s)
169: acc=59.27% acc_corr=59.98% avg#q_ae=72.42 med#q=104.0, avg_margin=0.56 (n_ex=9882, eps=0.300, 655.28s)
170: acc=59.15% acc_corr=59.86% avg#q_ae=72.72 med#q=104.0, avg_margin=0.56 (n_ex=9882, eps=0.300, 658.24s)
171: acc=59.00% acc_corr=59.70% avg#q_ae=73.09 med#q=104.0, avg_margin=0.56 (n_ex=9882, eps=0.300, 661.19s)
172: acc=58.88% acc_corr=59.58% avg#q_ae=73.39 med#q=104.0, avg_margin=0.55 (n_ex=9882, eps=0.300, 664.22s)
173: acc=58.80% acc_corr=59.50% avg#q_ae=73.59 med#q=104.5, avg_margin=0.55 (n_ex=9882, eps=0.300, 667.20s)
174: acc=58.73% acc_corr=59.43% avg#q_ae=73.77 med#q=105.0, avg_margin=0.55 (n_ex=9882, eps=0.300, 670.18s)
175: acc=58.66% acc_corr=59.36% avg#q_ae=73.95 med#q=105.0, avg_margin=0.55 (n_ex=9882, eps=0.300, 673.15s)
176: acc=58.61% acc_corr=59.31% avg#q_ae=74.08 med#q=105.0, avg_margin=0.55 (n_ex=9882, eps=0.300, 676.13s)
177: acc=58.57% acc_corr=59.27% avg#q_ae=74.18 med#q=105.0, avg_margin=0.54 (n_ex=9882, eps=0.300, 679.09s)
178: acc=58.52% acc_corr=59.22% avg#q_ae=74.31 med#q=105.0, avg_margin=0.54 (n_ex=9882, eps=0.300, 682.09s)
179: acc=58.45% acc_corr=59.15% avg#q_ae=74.49 med#q=105.0, avg_margin=0.54 (n_ex=9882, eps=0.300, 685.06s)
180: acc=58.38% acc_corr=59.08% avg#q_ae=74.68 med#q=105.0, avg_margin=0.54 (n_ex=9882, eps=0.300, 688.01s)
181: acc=58.32% acc_corr=59.02% avg#q_ae=74.84 med#q=105.0, avg_margin=0.54 (n_ex=9882, eps=0.300, 690.94s)
182: acc=58.24% acc_corr=58.94% avg#q_ae=75.05 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 693.89s)
183: acc=58.20% acc_corr=58.89% avg#q_ae=75.16 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 696.86s)
184: acc=58.14% acc_corr=58.83% avg#q_ae=75.32 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 699.80s)
185: acc=58.08% acc_corr=58.77% avg#q_ae=75.48 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 702.75s)
186: acc=58.01% acc_corr=58.70% avg#q_ae=75.67 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 705.68s)
187: acc=57.94% acc_corr=58.63% avg#q_ae=75.87 med#q=105.0, avg_margin=0.53 (n_ex=9882, eps=0.300, 708.56s)
188: acc=57.87% acc_corr=58.56% avg#q_ae=76.06 med#q=105.0, avg_margin=0.52 (n_ex=9882, eps=0.300, 711.48s)
